water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5060741000.0,4139202994.68,-921538005.32,857334.0,831498.06,-25835.94,3118533.0,2852079.33,-266453.67,Rice
1398072000.0,959209808.45,-438862191.55,365499.0,349613.17,-15885.83,802139.0,818181.78,16042.78,Maize
7444348000.0,6523778715.61,-920569284.39,2294029.0,2177947.83,-116081.17,7187994.0,7331753.88,143759.88,Sorghum
2848673000.0,3169685951.09,321012951.09,327421.0,422546.2,95125.2,15823103.0,16139565.06,316462.06,Sugar cane
23000000.0,12036560.46,-10963439.54,10175.0,7107.5,-3067.5,11057.0,11278.14,221.14,Sunflower
146341000.0,66549893.68,-79791106.32,37909.0,20854.42,-17054.58,46569.0,47500.38,931.38,Soybean
120302000.0,79189940.44,-41112059.56,51026.0,48425.36,-2600.64,29689.5,30283.29,593.79,Sesame
116852000.0,89168399.21,-27683600.79,53017.0,53510.82,493.82,83672.0,85345.44,1673.44,Peanuts
1796945000.0,136108510.48,-1660836489.52,651302.2,316730.6,-334571.6,11807612.24,12043764.49,236152.25,vegetables
989151000.0,868830848.71,-120320151.29,334028.0,295170.73,-38857.27,423574.0,431141.95,7567.95,Cotton
825916000.0,555310539.83,-270605460.17,265203.0,180994.79,-84208.21,3520348.0,3590754.96,70406.96,Green folder
12088000.0,915000.0,-11173000.0,4112.5,629.5,-3483.0,63707.0,9403.0,-54304.0,Fully grown Onions
