water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5060741000.0,4139202994.68,-921538005.32,857334.0,831498.06,-25835.94,3118533.0,2852079.33,-266453.67,Rice
1398072000.0,993245461.79,-404826538.21,365499.0,359417.11,-6081.89,802139.0,842245.95,40106.95,Maize
7444348000.0,6648251495.18,-796096504.82,2294029.0,2181051.12,-112977.88,7187994.0,7340171.58,152177.58,Sorghum
2848673000.0,3265303146.31,416630146.31,327421.0,433234.42,105813.42,15823103.0,16614258.15,791155.15,Sugar cane
23000000.0,12278692.47,-10721307.53,10175.0,7239.97,-2935.03,11057.0,11609.85,552.85,Sunflower
146341000.0,68094023.68,-78246976.32,37909.0,21332.36,-16576.64,46569.0,48897.45,2328.45,Soybean
120302000.0,81657359.87,-38644640.13,51026.0,49820.35,-1205.65,29689.5,31173.97,1484.47,Sesame
116852000.0,91837911.24,-25014088.76,53017.0,55078.76,2061.76,83672.0,87855.6,4183.6,Peanuts
1796945000.0,165364691.39,-1631580308.61,651302.2,338902.55,-312399.65,11807612.24,12397992.85,590380.61,vegetables
989151000.0,867344985.76,-121806014.24,334028.0,294692.79,-39335.21,423574.0,430446.39,6872.39,Cotton
825916000.0,558526251.23,-267389748.77,265203.0,179635.68,-85567.32,3520348.0,3696365.4,176017.4,Green folder
12088000.0,915000.0,-11173000.0,4112.5,629.5,-3483.0,63707.0,9403.0,-54304.0,Fully grown Onions
