water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5060741000.0,4310159711.12,-750581288.88,857334.0,864273.56,6939.56,3118533.0,2962922.63,-155610.37,Rice
1398072000.0,992982325.09,-405089674.91,365499.0,359456.87,-6042.13,802139.0,842245.95,40106.95,Maize
7444348000.0,6669634998.13,-774713001.87,2294029.0,2231798.5,-62230.5,7187994.0,7547393.7,359399.7,Sorghum
2848673000.0,3266365768.18,417692768.18,327421.0,433571.57,106150.57,15823103.0,16614258.15,791155.15,Sugar cane
23000000.0,12278692.47,-10721307.53,10175.0,7239.97,-2935.03,11057.0,11609.85,552.85,Sunflower
146341000.0,55681444.74,-90659555.26,37909.0,17425.23,-20483.77,46569.0,48897.45,2328.45,Soybean
120302000.0,81567611.43,-38734388.57,51026.0,49718.21,-1307.79,29689.5,31173.97,1484.47,Sesame
116852000.0,92759451.14,-24092548.86,53017.0,55004.89,1987.89,83672.0,87855.6,4183.6,Peanuts
1796945000.0,160211857.51,-1636733142.49,651302.2,335952.32,-315349.88,11807612.24,12397992.85,590380.61,vegetables
989151000.0,1047632777.35,58481777.35,334028.0,314116.6,-19911.4,423574.0,444752.7,21178.7,Cotton
825916000.0,604815372.39,-221100627.61,265203.0,183341.91,-81861.09,3520348.0,3696365.4,176017.4,Green folder
12088000.0,911000.0,-11177000.0,4112.5,627.0,-3485.5,63707.0,9372.0,-54335.0,Fully grown Onions
