sol_index,City,Labels,Rice,Maize,Sorghum,Sugar cane,Sunflower,Soybean,Sesame,Peanuts,vegetables,Cotton,Green folder,Fully grown Onions
Orginal,Beni sweif,Area,207.0,6252.0,146405.0,262.0,233.0,3006.0,3408.0,1132.0,55814.2453,10294.0,14607.0,0.0
Orginal,Beni sweif,Production,768.0,12991.0,405229.0,8100.0,458.0,4460.0,1941.0,1694.0,630667.9,13279.0,134093.0,0.0
Orginal,Fayoum,Water,3230000.0,532630000.0,467861000.0,2270000.0,8369000.0,24000.0,11082000.0,122000.0,67024000.0,147054000.0,0.0,0
Orginal,Fayoum,Area,479.0,130803.0,102501.0,237.0,3115.0,6.0,3086.0,35.0,16162.0,39144.0,0.0,0
Orginal,Fayoum,Production,1505.0,242096.0,261863.0,5814.0,2389.0,4.0,1600.0,8.0,21051.0,222191.0,0.0,0
Orginal,Minya,Water,0.0,62163000.0,1039294000.0,372086000.0,3858000.0,97326000.0,10346000.0,12805000.0,171438000.0,6731000.0,8394000.0,0.0
Orginal,Minya,Area,0.0,17906.0,295449.0,39247.0,1278.0,23971.0,4656.0,7027.0,32505.705042007296,1623.0,3017.0,0.0
Orginal,Minya,Production,0.0,43951.0,801407.0,1562657.0,1228.0,28517.0,3081.0,11025.0,1238614.1983215604,2109.0,31152.0,0.0
Orginal,Assuit,Water,249104000.0,812799000.0,11024000.0,446000.0,7124000.0,1959000.0,1680000.0,18503000.0,19037000.0,40844000.0,0.0,0
Orginal,Assuit,Area,65435.0,208073.0,1081.0,244.0,1542.0,901.0,791.0,1090.201040739524,4474.0,12055.0,0.0,0
Orginal,Assuit,Production,176966.0,569782.0,35334.0,611.0,1915.0,447.0,1330.0,32307.595999335776,6567.0,249369.0,0.0,0
Orginal,Sohag,Water,0.0,384894000.0,654721000.0,120843000.0,43000.0,855000.0,3557000.0,3652000.0,22437000.0,3787000.0,91737000.0,0.0
Orginal,Sohag,Area,0.0,99603.0,162455.0,13508.0,12.0,179.0,2011.0,2145.0,17004.0,890.0,22237.0,0.0
Orginal,Sohag,Production,0.0,227485.0,461355.0,599927.0,18.0,286.0,1284.0,3434.0,271663.0,1228.0,185413.0,0.0
Orginal,Qena,Water,0.0,131692000.0,157571000.0,1148109000.0,0.0,0.0,2561000.0,122000.0,7759000.0,0.0,9977000.0,0.0
Orginal,Qena,Area,0.0,34133.0,39404.0,118075.0,0.0,0.0,783.0,33.0,19843.0,0.0,3280.0,0.0
Orginal,Qena,Production,0.0,75043.0,75118.0,5846576.0,0.0,0.0,484.0,23.0,1006248.0,0.0,114033.0,0.0
Orginal,Aswan,Water,0.0,6130000.0,27204000.0,609526000.0,0.0,157000.0,4000.0,5252000.0,2567000.0,0.0,0,0
Orginal,Aswan,Area,0.0,8109.0,11825.0,85869.0,0.0,2173.0,461.0,32505.705042007296,980.0,0.0,0,0
Orginal,Aswan,Production,0.0,16190.0,26223.0,4536367.0,0.0,1221.0,600.0,32307.595999335776,3933.0,0.0,0,0
Orginal,Luxor,Water,0.0,5854000.0,70008000.0,557601000.0,0.0,0.0,774000.0,34000.0,11129000.0,0.0,14665000.0,0.0
Orginal,Luxor,Area,0.0,2208.0,15748.0,66345.0,0.0,0.0,489.0,84.0,1412.0,0.0,5477.0,0.0
Orginal,Luxor,Production,0.0,4979.0,34578.0,3120212.0,0.0,0.0,247.0,69.0,245772.0,0.0,67094.0,0.0
