sol_index,City,Labels,Rice,Maize,Sorghum,Sugar cane,Sunflower,Soybean,Sesame,Peanuts,vegetables,Cotton,Green folder,Fully grown Onions
Orginal,Cairo,Water,0.0,0.0,3.020021882215695e-06,0.0,0.0,1.4381056581979501e-07,0.0,1.3709940608153791e-05,0.0,0.0,0,0
Orginal,Cairo,Area,0.0,0.0,1.5057131178367695e-06,0.0,0.0,1.882141397295962e-07,0.0,0.006323224561800501,0.0,0.0,0,0
Orginal,Cairo,Production,0.0,0.0,5.32374861422058e-06,0.0,0.0,1.1473596151337457e-08,0.0,0.011940392656916418,0.0,0.0,0,0
Orginal,Alexandria,Water,0.0002182085652039023,0.0010298753986908253,1.7592825885288256e-05,1.2415645515775636e-05,0.005189979509870582,0.0001623141919552753,0.00011869165365660415,0,0,0,0,0
Orginal,Alexandria,Area,0.00046394785443345463,0.008796564248542138,0.00011669276663234964,0.0003133765426497777,0.015051701814578076,0.0003214697506581503,0.00038866219854161616,0,0,0,0,0
Orginal,Alexandria,Production,0.00021152721864605735,0.0031642112938081463,1.3102846804827376e-05,1.5122199727462767e-05,0.02842271819770837,4.426513395185991e-05,0.0005972695212540227,0,0,0,0,0
Orginal,Port said,Water,0.0056318614417795385,0.0,0.0016128834325242743,0.0,0.0,0.0,0.0001909324945534145,0.0,4.879971866818377e-05,0.0009237432011158166,0.0022220170524816524,0.0
Orginal,Port said,Area,0.0034245562723800027,0.0,0.0018537210621967929,0.0,0.0,0.0,0.00024580766648685265,0.0,0.00039260352576841047,0.0011665512380440372,0.0028501267179252754,0.0
Orginal,Port said,Production,0.0012550737358025016,0.0,0.0005528667041483467,0.0,0.0,0.0,1.330937153555145e-05,0.0,0.0007413686182338887,0.00014559993516047233,0.005111028141574783,0.0
Orginal,Suez,Water,0.0,0.0,0.0007718313067548398,0.0,0.0,0.0,2.7947186624313495e-05,0.0,0.0002924627540221898,0.0,0.00040909312290204354,0.0
Orginal,Suez,Area,0.0,0.0,0.0009762667427774155,0.0,0.0,0.0,6.173423783130755e-05,0.0,0.000741563710534609,0.0,0.000564454205049059,0.0
Orginal,Suez,Production,0.0,0.0,0.0002595556921355559,0.0,0.0,0.0,3.3502900761905374e-06,0.0,0.0007938913911398775,0.0,0.0009212609293754898,0.0
Orginal,Damietta,Water,0.012927467319528286,0.0,0.0004994061582368748,3.020021882215695e-06,0.0,3.8349484218612e-06,2.8762113163959003e-07,0.0,0.004333971085255889,0.0012951100189178006,0.001491267630696001,7.142591435716485e-06
Orginal,Damietta,Area,0.008857169201535068,0.0,0.0004503964363729237,1.5057131178367695e-06,0.0,4.705353493239905e-06,3.764282794591924e-07,0.0,0.01654157609841502,0.0016414155125818084,0.0019128203020718861,1.731570085512285e-05
Orginal,Damietta,Production,0.003724489941070257,0.0,0.0001748117109617775,4.7041744220483575e-06,0.0,8.03151730593622e-07,2.2947192302674914e-08,0.0,0.031236177106247147,0.00022775088360404852,0.00226073443846723,2.9785455608872038e-05
Orginal,Dakahlia,Water,0.06283855404036744,0.0,0.009942055846819889,9.462735230942511e-05,7.142591435716485e-06,0.0010351484527708844,4.899146608927683e-05,0.0,0.00760940053236754,0.005669443936313779,0.001600899218705958,2.5550343860650245e-05
Orginal,Dakahlia,Area,0.042964582746773575,0.0,0.029177708797440922,4.7429963211858245e-05,9.787135265939001e-06,0.0012702572290350447,6.305173680941473e-05,0.0,0.00039260352576841047,0.0097604088580974,0.0020539809068690833,5.401745810239411e-05
Orginal,Dakahlia,Production,0.01910374411670759,0.0,0.013867355463583293,0.00022277134287436806,9.408348844096715e-07,0.0001906223264583205,3.3502900761905374e-06,0.0,0.0007413686182338887,0.0017922675076081215,0.00425879236664574,8.47898755583838e-05
Orginal,Sharkia,Water,0.04677064745817701,0.0,0.03735182238666481,0.0,5.186767740567273e-05,0.0001488918724787611,0.0013871967178977426,0.0023119945298295712,0.00637464301423878,0.005847577290509231,0.003461760003558832,1.9174742109306e-07
Orginal,Sharkia,Area,0.035206207692979885,0.0,0.05473060147782955,0.0,7.095673067805776e-05,0.0002138112627328213,0.002342701397214284,0.0035054883524637294,0.006323224561800501,0.009320740627689063,0.006168342001358056,4.705353493239905e-07
Orginal,Sharkia,Production,0.014516325009095242,0.0,0.02327703524483356,0.0,7.136576806131898e-06,3.061155453176833e-05,0.00017148436807788963,0.0006703104343534369,0.011940392656916418,0.0015898044299216207,0.015317916330612281,7.113629613829223e-07
Orginal,Quliubiya,Water,0.0005980122695339809,0.0,0.01223660136132999,0.0001577601907043151,0.0,3.8972663337164445e-05,4.41019068514038e-06,6.931669272514119e-05,0.0019623910443216496,1.073785558121136e-05,0.0017358894031554723,0.0
Orginal,Quliubiya,Area,0.00036362971795757986,0.0,0.015896942669841155,7.90499386864304e-05,0.0,4.7806391491317435e-05,5.646424191887886e-06,8.92135022318286e-05,0.015051701814578076,1.3551418060530926e-05,0.002226573273001123,0.0
Orginal,Quliubiya,Production,0.00013642105823940236,0.0,0.006571249776563199,0.00032279815412172803,0.0,8.811721844227167e-06,3.671550768427986e-07,1.7393971765427585e-05,0.02842271819770837,1.858722576516668e-06,0.004185453140046391,0.0
Orginal,Kafr el sheikh,Water,0.05732524044167868,0.0,0.010511114255768818,3.604851516549528e-05,0.0,2.5933838702836365e-05,2.5023038452644332e-05,8.628633949187701e-07,0.004252718115567705,0.015699128354573197,0.003635770788200784,0.0
