water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5060741000.0,4310159711.12,-750581288.88,857334.0,864273.56,6939.56,3118533.0,2962922.63,-155610.37,Rice
1398072000.0,981637107.31,-416434892.69,365499.0,356188.89,-9310.11,802139.0,834224.56,32085.56,Maize
7444348000.0,6463970134.4,-980377865.6,2294029.0,2205299.04,-88729.96,7187994.0,7475513.76,287519.76,Sorghum
2848673000.0,3234493369.77,385820369.77,327421.0,430008.83,102587.83,15823103.0,16456027.12,632924.12,Sugar cane
23000000.0,12197981.8,-10802018.2,10175.0,7195.81,-2979.19,11057.0,11499.28,442.28,Sunflower
146341000.0,55166734.74,-91174265.26,37909.0,17265.92,-20643.08,46569.0,48431.76,1862.76,Soybean
120302000.0,80745138.29,-39556861.71,51026.0,49253.21,-1772.79,29689.5,30877.08,1187.58,Sesame
116852000.0,91869613.79,-24982386.21,53017.0,54482.24,1465.24,83672.0,87018.88,3346.88,Peanuts
1796945000.0,150459797.21,-1646485202.79,651302.2,328561.67,-322740.53,11807612.24,12279916.73,472304.49,vegetables
989151000.0,1033903761.84,44752761.84,334028.0,310845.9,-23182.1,423574.0,440516.96,16942.96,Cotton
825916000.0,631526541.2,-194389458.8,265203.0,196548.98,-68654.02,3520348.0,3661161.92,140813.92,Green folder
12088000.0,911000.0,-11177000.0,4112.5,627.0,-3485.5,63707.0,9372.0,-54335.0,Fully grown Onions
