water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5060741000.0,4139202994.68,-921538005.32,857334.0,831498.06,-25835.94,3118533.0,2852079.33,-266453.67,Rice
1398072000.0,970555026.23,-427516973.77,365499.0,352881.15,-12617.85,802139.0,826203.17,24064.17,Maize
7444348000.0,6618010876.91,-826337123.09,2294029.0,2187587.08,-106441.92,7187994.0,7357900.41,169906.41,Sorghum
2848673000.0,3201558349.5,352885349.5,327421.0,426108.94,98687.94,15823103.0,16297796.09,474693.09,Sugar cane
23000000.0,12117271.13,-10882728.87,10175.0,7151.66,-3023.34,11057.0,11388.71,331.71,Sunflower
146341000.0,67064603.68,-79276396.32,37909.0,21013.73,-16895.27,46569.0,47966.07,1397.07,Soybean
120302000.0,80012413.59,-40289586.41,51026.0,48890.36,-2135.64,29689.5,30580.18,890.68,Sesame
116852000.0,90058236.55,-26793763.45,53017.0,54033.46,1016.46,83672.0,86182.16,2510.16,Peanuts
1796945000.0,145860570.78,-1651084429.22,651302.2,324121.25,-327180.95,11807612.24,12161840.61,354228.37,vegetables
989151000.0,868335561.06,-120815438.94,334028.0,295011.42,-39016.58,423574.0,430910.1,7336.1,Cotton
825916000.0,546994337.18,-278921662.82,265203.0,176232.07,-88970.93,3520348.0,3625958.44,105610.44,Green folder
12088000.0,915000.0,-11173000.0,4112.5,629.5,-3483.0,63707.0,9403.0,-54304.0,Fully grown Onions
