sol_index,Crop_Name,Water,Area,Production
41,Maize,1487375084.1902118,427773.883156064,784447.3850696756
41,Sorghum,8531907876.908702,2455687.1974936775,7622521.240159277
41,Sugar cane,2605326349.497998,341557.9391664064,11761429.09
41,Sunflower,20162271.129296232,9658.65505728314,13206.709999999995
41,Soybean,75044603.68421046,22717.73447368419,47950.06999999994
41,Sesame,92896413.58644858,50704.36061915886,29806.18499999999
41,Peanuts,91856236.55212583,54398.46423995342,85582.16000000002
41,vegetables,200771570.78296384,292688.2437878449,11641498.403579528
41,Cotton,956728561.0622951,314802.4187893097,449934.09621821716
41,Green folder,783309337.1804836,235548.06874230562,3599930.4400000004
41,Fully grown Onions,900000.0000000001,608.5,9188.0
60,Rice,4157605565.2131352,781662.4060827468,2653993.78303875
60,Maize,1498457165.274041,375773.5965216897,792468.7750696756
60,Sorghum,8377867134.396641,2450057.4531365754,7337622.760000001
60,Sugar cane,2638261369.773468,345457.8278912706,11919660.120000005
60,Sunflower,20242981.80032733,9702.810671031097,13317.28
60,Soybean,63146734.73684208,18969.917894736835,48415.75999999997
60,Sesame,93629138.28660434,51067.20862928347,29656.07999999999
60,Peanuts,93667613.79149678,54847.24304018637,86418.87999999999
60,vegetables,205370797.2052454,297128.6637955828,11759574.525999513
60,Cotton,1055272761.8368368,314474.90287087404,438489.95999999996
60,Green folder,867841541.201971,255864.98491069183,3635133.919999999
60,Fully grown Onions,896000.0000000001,606.0,9157.0
61,Rice,3986648848.778309,748886.9060827468,2543150.481246219
61,Maize,1498720301.9684193,430574.25721495185,792468.7750696756
61,Sorghum,8546721564.910519,2438732.2198049086,7608875.723936289
61,Sugar cane,2637198747.9036207,345120.6805553421,11919660.120000001
61,Sunflower,20242981.80032733,9702.810671031097,13317.28
61,Soybean,75559313.68421048,22877.049473684194,48415.75999999995
61,Sesame,93718886.72897193,51169.35738317756,29656.079999999994
61,Peanuts,92746073.89633082,54921.10966802563,86418.88
61,vegetables,210523631.08833197,300078.89465170726,11759574.525999514
61,Cotton,956233273.4112189,314643.1037893096,449702.24541523703
61,Green folder,789075294.2044923,237249.87590919482,3635133.92
61,Fully grown Onions,900000.0000000001,608.5,9188.0
80,Rice,4157605565.2131352,781662.4060827468,2653993.78303875
80,Maize,1509802383.0522485,375143.95763308014,800490.1650696757
80,Sorghum,8583531998.129243,2448011.353186414,7409502.7
80,Sugar cane,2670133768.1790905,349020.5692802062,12077891.150000002
80,Sunflower,20323692.471358433,9746.966284779053,11038.850000000006
80,Soybean,63661444.73684209,19129.232894736837,48881.44999999998
80,Sesame,94451611.4291277,51532.20539330217,29952.974999999995
80,Peanuts,94557451.13570184,55369.88846825861,87255.60000000002
80,vegetables,215122857.51061368,304519.3146594452,11877650.648419501
80,Cotton,1069001777.3532561,317745.60081837134,442725.70000000007
80,Green folder,841130372.3886472,242657.91433897306,3670337.4
80,Fully grown Onions,896000.0000000001,606.0,9157.0
81,Rice,3986648848.778309,748886.9060827468,2543150.481246219
81,Maize,1510065519.7466269,433374.6312738396,800490.1650696757
81,Sorghum,8562148495.175965,2421777.2421161393,7595230.207713301
81,Sugar cane,2669071146.309243,348683.42194427777,12077891.15
81,Sunflower,20323692.471358433,9746.966284779053,11038.850000000006
81,Soybean,76074023.68421048,23036.364473684196,48881.44999999995
81,Sesame,94541359.87149528,51634.35414719625,29952.974999999995
81,Peanuts,93635911.24053581,55443.75509609784,87255.59999999999
81,vegetables,220275691.39370033,307469.5455155698,11877650.648419503
81,Cotton,955737985.7601427,314483.7887893097,449470.3946122569
81,Green folder,794841251.2285008,238951.68307608413,3670337.400000001
81,Fully grown Onions,900000.0000000001,608.5,9188.0
