sol_index,Labels,Rice,Maize,Sorghum,Sugar cane,Sunflower,Soybean,Sesame,Peanuts,vegetables,Cotton,Green folder,Fully grown Onions,Total
Orginal,prod,0.0715615764532377,0.018406837886475354,0.16493803895216713,0.3630957873660323,0.0002537271052906765,0.001068627798343268,0.0006812906658702668,0.0019200374743494153,0.2666684621934254,0.009719834032413223,0.08070915340400682,0.0014618967800265107,0.98
Orginal,water,0.2425960088924784,0.06701917512560415,0.35685014785643643,0.13655642532185763,0.001102547671285095,0.0070151273375448735,0.005766899563084326,0.005601517412391562,0.08438089743162,0.04741678833040535,0.03955514406558989,0.0005794607065432273,0.99
Orginal,area,0.16136238127093364,0.06879207985702768,0.43174272119846313,0.06162526184440412,0.0019150788717486413,0.007135009823009263,0.009603814693842376,0.009978549046044002,0.12238238636851155,0.06286879266559756,0.049858302042649495,0.0007740306496379644,0.99
2,prod,0.07360949265108636,0.017632728238794818,0.16342951210055007,0.26262985933518423,0.0002431615295387559,0.0010789469212498575,0.0006600850507274033,0.0019254695337113045,0.2617206715831712,0.009770518413939834,0.08099265403236637,0.00024062425848584914,0.87
2,water,0.24153142986581635,0.04467976879833217,0.3855973737123588,0.12056986305270023,0.0009587778415929514,0.0032073830558213274,0.0037491638518817243,0.004133266974609809,0.0059643094704740955,0.040172475898617666,0.07461429849471651,5.028576118165499e-05,0.93
2,area,0.17457292584785924,0.0612507515416412,0.42477473187611026,0.06186766546569217,0.0018012740308398533,0.00392692442774657,0.00861782990753865,0.009744074205632688,0.051910923922797135,0.055325917011907644,0.08304506495523697,0.00013184400488058212,0.94
20,prod,0.060901705709493874,0.01781679661765957,0.1650789549064348,0.26626081720884454,0.00024569880059166325,0.0010896331992332896,0.0006668979573861062,0.0019446699084547988,0.2644301870706968,0.009867716754263966,0.08180047505764974,0.0002101274399155942,0.87
20,water,0.1993025362629432,0.07074361613957342,0.38304047651211703,0.12341422835671226,0.0009626468573491779,0.0029777087265038496,0.004409432899406888,0.004404818838143258,0.008909863976033734,0.049270205998281115,0.04416249322789426,4.295142232484545e-05,0.89
20,area,0.14711991731983048,0.07096291808594607,0.4619056657140266,0.06367893127821529,0.0018095847416956586,0.003510436105956924,0.009436532808718756,0.010126288146092321,0.053141765856522714,0.05795744010938276,0.053128922873900294,0.0001140577686761353,0.93
21,prod,0.05835816314779724,0.01781679661765957,0.16507895490643473,0.2662608172088445,0.00024569880059166325,0.0010896331992332911,0.0006668979573861063,0.0019446699084547984,0.2644301870706968,0.01033004455441118,0.08180047505764974,0.0002108388028769771,0.87
