water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5060741000.0,4139202994.68,-921538005.32,857334.0,831498.06,-25835.94,3118533.0,2852079.33,-266453.67,Rice
1398072000.0,981900244.01,-416171755.99,365499.0,356149.13,-9349.87,802139.0,834224.56,32085.56,Maize
7444348000.0,6632824564.91,-811523435.09,2294029.0,2184319.1,-109709.9,7187994.0,7349036.0,161042.0,Sorghum
2848673000.0,3233430747.9,384757747.9,327421.0,429671.68,102250.68,15823103.0,16456027.12,632924.12,Sugar cane
23000000.0,12197981.8,-10802018.2,10175.0,7195.81,-2979.19,11057.0,11499.28,442.28,Sunflower
146341000.0,67579313.68,-78761686.32,37909.0,21173.05,-16735.95,46569.0,48431.76,1862.76,Soybean
120302000.0,80834886.73,-39467113.27,51026.0,49355.36,-1670.64,29689.5,30877.08,1187.58,Sesame
116852000.0,90948073.9,-25903926.1,53017.0,54556.11,1539.11,83672.0,87018.88,3346.88,Peanuts
1796945000.0,155612631.09,-1641332368.91,651302.2,331511.9,-319790.3,11807612.24,12279916.73,472304.49,vegetables
989151000.0,867840273.41,-121310726.59,334028.0,294852.1,-39175.9,423574.0,430678.25,7104.25,Cotton
825916000.0,552760294.2,-273155705.8,265203.0,177933.88,-87269.12,3520348.0,3661161.92,140813.92,Green folder
12088000.0,915000.0,-11173000.0,4112.5,629.5,-3483.0,63707.0,9403.0,-54304.0,Fully grown Onions
