water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,5034346694.4,-332789305.6,2856066.0,2920149.29,64083.29,7879477.0,8273450.85,393973.85,Wheat
15098000.0,2950591.12,-12147408.88,20603.0,16104.14,-4498.86,27262.0,28625.1,1363.1,Barley
225658000.0,259425706.19,33767706.19,164037.0,181994.29,17957.29,1936833.0,2033674.65,96841.65,Forestation Alfalfa
4765948000.0,2789800165.68,-1976147834.32,1330370.0,1234014.41,-96355.59,37240462.0,37635568.97,395106.97,Sustains Alfalfa
997737000.0,817399219.23,-180337780.77,735926.12,718081.05,-17845.07,12458799.65,13081739.63,622939.98,vegetables
86172000.0,116882478.08,30710478.08,58733.0,74738.16,16005.16,302729.0,317865.45,15136.45,Medical and Aromatic plants
78122000.0,90866435.95,12744435.95,49777.0,56952.93,7175.93,66035.0,69336.75,3301.75,fully grown Beans
1485000.0,1485000.0,0.0,1561.0,1561.0,0.0,1585.0,1585.0,0.0,lentils
4960000.0,4960000.0,0.0,2711.0,2711.0,0.0,2752.0,2752.0,0.0,Fenugreek
13789000.0,13789000.0,0.0,5600.0,5600.0,0.0,6331.0,6331.0,0.0,chickpeas
147000.0,147000.0,0.0,245.0,245.0,0.0,196.0,196.0,0.0,Lupine
740683000.0,940008175.5,199325175.5,470998.0,509236.49,38238.49,9774089.0,10262793.45,488704.45,sugar Beet
240018000.0,301379359.9,61361359.9,163687.0,164958.36,1271.36,2539637.0,2553995.86,14358.86,Fully grown Onions
79471000.0,7131174.54,-72339825.46,41433.0,14121.0,-27312.0,286800.0,43772.32,-243027.68,Garlic
19539000.0,19446000.0,-93000.0,13438.0,13376.0,-62.0,66266.0,65977.0,-289.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
