water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4608052152.17,-759083847.83,2856066.0,2739161.87,-116904.13,7879477.0,8115861.31,236384.31,Wheat
15098000.0,2894543.49,-12203456.51,20603.0,15815.46,-4787.54,27262.0,28079.86,817.86,Barley
225658000.0,183830988.17,-41827011.83,164037.0,138513.68,-25523.32,1936833.0,1994937.99,58104.99,Forestation Alfalfa
4765948000.0,2646236104.3,-2119711895.7,1330370.0,1253548.62,-76821.38,37240462.0,38357675.86,1117213.86,Sustains Alfalfa
997737000.0,306048009.86,-691688990.14,735926.12,785033.66,49107.54,12458799.65,12832563.64,373763.99,vegetables
86172000.0,106796485.61,20624485.61,58733.0,66952.0,8219.0,302729.0,311810.87,9081.87,Medical and Aromatic plants
78122000.0,66668347.77,-11453652.23,49777.0,54085.77,4308.77,66035.0,68016.05,1981.05,fully grown Beans
1485000.0,1347323.23,-137676.77,1561.0,1489.0,-72.0,1585.0,1537.75,-47.25,lentils
4960000.0,3847299.32,-1112700.68,2711.0,2793.31,82.31,2752.0,2834.56,82.56,Fenugreek
13789000.0,14320804.0,531804.0,5600.0,5789.93,189.93,6331.0,6520.93,189.93,chickpeas
147000.0,163760.0,16760.0,245.0,256.67,11.67,196.0,201.88,5.88,Lupine
740683000.0,844959783.94,104276783.94,470998.0,499856.5,28858.5,9774089.0,10067311.67,293222.67,sugar Beet
240018000.0,149916931.52,-90101068.48,163687.0,141291.86,-22395.14,2539637.0,2615826.11,76189.11,Fully grown Onions
79471000.0,56638732.84,-22832267.16,41433.0,36487.42,-4945.58,286800.0,295404.0,8604.0,Garlic
19539000.0,15305000.0,-4234000.0,13438.0,10601.0,-2837.0,66266.0,54294.0,-11972.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
