water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4658237273.64,-708898726.36,2856066.0,2777884.25,-78181.75,7879477.0,8098310.17,218833.17,Wheat
15098000.0,2922567.31,-12175432.69,20603.0,15959.8,-4643.2,27262.0,28352.48,1090.48,Barley
225658000.0,213375637.73,-12282362.27,164037.0,160209.21,-3827.79,1936833.0,2014306.32,77473.32,Forestation Alfalfa
4765948000.0,2906799760.82,-1859148239.18,1330370.0,1368704.38,38334.38,37240462.0,38730080.48,1489618.48,Sustains Alfalfa
997737000.0,377656955.65,-620080044.35,735926.12,821771.73,85845.61,12458799.65,12957151.64,498351.99,vegetables
86172000.0,103358981.56,17186981.56,58733.0,58153.8,-579.2,302729.0,314838.16,12109.16,Medical and Aromatic plants
78122000.0,75544616.86,-2577383.14,49777.0,55615.19,5838.19,66035.0,68676.4,2641.4,fully grown Beans
1485000.0,1315000.0,-170000.0,1561.0,1465.0,-96.0,1585.0,1517.0,-68.0,lentils
4960000.0,3884741.5,-1075258.5,2711.0,2820.41,109.41,2752.0,2862.08,110.08,Fenugreek
13789000.0,14079672.0,290672.0,5600.0,5654.24,54.24,6331.0,6584.24,253.24,chickpeas
147000.0,167680.0,20680.0,245.0,259.24,14.24,196.0,203.84,7.84,Lupine
740683000.0,1102401075.72,361718075.72,470998.0,513069.77,42071.77,9774089.0,10165052.56,390963.56,sugar Beet
240018000.0,144405987.45,-95612012.55,163687.0,115946.11,-47740.89,2539637.0,2136181.12,-403455.88,Fully grown Onions
79471000.0,2248000.0,-77223000.0,41433.0,9756.0,-31677.0,286800.0,12231.0,-274569.0,Garlic
19539000.0,10436000.0,-9103000.0,13438.0,7337.0,-6101.0,66266.0,38264.0,-28002.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
