water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4658237273.64,-708898726.36,2856066.0,2777884.25,-78181.75,7879477.0,8098310.17,218833.17,Wheat
15098000.0,2950591.12,-12147408.88,20603.0,16104.14,-4498.86,27262.0,28625.1,1363.1,Barley
225658000.0,215386459.87,-10271540.13,164037.0,161685.62,-2351.38,1936833.0,2033674.65,96841.65,Forestation Alfalfa
4765948000.0,2932828854.83,-1833119145.17,1330370.0,1378189.38,47819.38,37240462.0,39102485.1,1862023.1,Sustains Alfalfa
997737000.0,402061631.72,-595675368.28,735926.12,829230.97,93304.85,12458799.65,13081739.63,622939.98,vegetables
86172000.0,104374562.49,18202562.49,58733.0,58692.48,-40.52,302729.0,317865.45,15136.45,Medical and Aromatic plants
78122000.0,76339219.83,-1782780.17,49777.0,56142.92,6365.92,66035.0,69336.75,3301.75,fully grown Beans
1485000.0,1315000.0,-170000.0,1561.0,1465.0,-96.0,1585.0,1517.0,-68.0,lentils
4960000.0,3922183.67,-1037816.33,2711.0,2847.51,136.51,2752.0,2889.6,137.6,Fenugreek
13789000.0,14256940.0,467940.0,5600.0,5717.55,117.55,6331.0,6647.55,316.55,chickpeas
147000.0,171600.0,24600.0,245.0,261.81,16.81,196.0,205.8,9.8,Lupine
740683000.0,1121000806.68,380317806.68,470998.0,518109.0,47111.0,9774089.0,10262793.45,488704.45,sugar Beet
240018000.0,206996672.18,-33021327.82,163687.0,91182.5,-72504.5,2539637.0,1722085.24,-817551.76,Fully grown Onions
79471000.0,2248000.0,-77223000.0,41433.0,9756.0,-31677.0,286800.0,12231.0,-274569.0,Garlic
19539000.0,10436000.0,-9103000.0,13438.0,7337.0,-6101.0,66266.0,38264.0,-28002.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
