water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4709831097.13,-657304902.87,2856066.0,2815528.79,-40537.21,7879477.0,8194656.08,315179.08,Wheat
15098000.0,2922567.31,-12175432.69,20603.0,15959.8,-4643.2,27262.0,28352.48,1090.48,Barley
225658000.0,206561904.55,-19096095.45,164037.0,154407.32,-9629.68,1936833.0,2014306.32,77473.32,Forestation Alfalfa
4765948000.0,2988849269.82,-1777098730.18,1330370.0,1358025.38,27655.38,37240462.0,38730080.48,1489618.48,Sustains Alfalfa
997737000.0,91833482.75,-905903517.25,735926.12,623200.95,-112725.17,12458799.65,12957151.64,498351.99,vegetables
86172000.0,155146524.83,68974524.83,58733.0,109339.87,50606.87,302729.0,314838.16,12109.16,Medical and Aromatic plants
78122000.0,75803152.4,-2318847.6,49777.0,55500.85,5723.85,66035.0,68676.4,2641.4,fully grown Beans
1485000.0,1137000.0,-348000.0,1561.0,1267.0,-294.0,1585.0,1324.0,-261.0,lentils
4960000.0,3884741.5,-1075258.5,2711.0,2820.41,109.41,2752.0,2862.08,110.08,Fenugreek
13789000.0,14023872.0,234872.0,5600.0,5632.24,32.24,6331.0,6584.24,253.24,chickpeas
147000.0,167680.0,20680.0,245.0,259.24,14.24,196.0,203.84,7.84,Lupine
740683000.0,1137789956.61,397106956.61,470998.0,458860.01,-12137.99,9774089.0,8871249.25,-902839.75,sugar Beet
240018000.0,153306795.03,-86711204.97,163687.0,142562.68,-21124.32,2539637.0,2641222.48,101585.48,Fully grown Onions
79471000.0,57712206.85,-21758793.15,41433.0,35865.43,-5567.57,286800.0,298272.0,11472.0,Garlic
19539000.0,4052000.0,-15487000.0,13438.0,3048.0,-10390.0,66266.0,17285.0,-48981.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
