sol_index,City,Labels,Wheat,Barley,Forestation Alfalfa,Sustains Alfalfa,vegetables,Medical and Aromatic plants,fully grown Beans,lentils,Fenugreek,chickpeas,Lupine,sugar Beet,Fully grown Onions,Garlic,Lfax,Others
Orginal,Behaira,Production,961685.0,1687.0,591391.0,4833838.0,1238614.1983215604,2367.0,13613.0,0.0,0.0,0.0,0.0,834773.0,171957.0,6156.0,5086.0,0.0
Orginal,Ismailia,Water,39768000.0,762000.0,4522000.0,20531000.0,79336000.0,0.0,1377000.0,2000.0,0.0,0.0,33000.0,3360000.0,317000.0,201000.0,0.0,0.0
Orginal,Ismailia,Area,39048.0,1488.0,4949.0,13361.0,2085.940654259328,0.0,139.0,2.0,0.0,0.0,160.0,8578.0,444.0,109.0,0.0,0.0
Orginal,Ismailia,Production,98660.0,2263.0,51132.0,338872.0,32307.595999335776,0.0,166.0,3.0,0.0,0.0,133.0,178651.0,4544.0,1227.0,0.0,0.0
Orginal,Giza,Water,64619000.0,322000.0,9992000.0,88240000.0,108473000.0,856000.0,1121000.0,0.0,0.0,0.0,0.0,1218000.0,7340000.0,3785000.0,0.0,10900000.0
Orginal,Giza,Area,34085.0,884.0,5896.0,37952.0,12137.0,323.0,384.0,0.0,0.0,0.0,0.0,2057.0,2077.0,1454.0,0.0,1219.648651672821
Orginal,Giza,Production,99255.0,1612.0,62932.0,1087834.0,615484.0,540.0,476.0,0.0,0.0,0.0,0.0,46458.0,33591.0,13242.0,0.0,62202.08123531387
Orginal,Beni sweif,Water,258464000.0,0.0,0.0,135360000.0,37083000.0,15462000.0,217000.0,0.0,224000.0,4035000.0,0.0,37718000.0,19184000.0,39722000.0,0.0,0.0
Orginal,Beni sweif,Area,124336.0,150.0,0.0,61676.0,51573.79,8640.0,92.0,0.0,135.0,1709.0,0.0,13176.0,13641.0,15654.0,0.0,0.0
Orginal,Beni sweif,Production,347344.0,185.0,0.0,1850280.0,582753.3,124873.0,113.0,0.0,119.0,1794.0,0.0,314287.0,127595.0,146052.0,0.0,0.0
Orginal,Fayoum,Water,427859000.0,2611000.0,6271000.0,2089556000.0,25721000.0,33726000.0,855000.0,0.0,0.0,0.0,0.0,68261000.0,26408000.0,6466000.0,0.0,0.0
Orginal,Fayoum,Area,192990.0,1410.0,3559.0,88167.0,751.91,17889.0,367.0,0.0,0.0,0.0,0.0,18494.0,10145.0,2484.0,0.0,0.0
Orginal,Fayoum,Production,506599.0,2147.0,32657.0,1531222.0,130834.0,100532.0,363.0,0.0,0.0,0.0,0.0,358709.0,137262.0,16245.0,0.0,0.0
Orginal,Minya,Water,458857000.0,206000.0,1392000.0,187367000.0,21667000.0,12950000.0,1188000.0,0.0,1851000.0,5357000.0,0.0,45743000.0,5602000.0,14889000.0,0.0,0.0
Orginal,Minya,Area,235847.0,1061.0,790.0,82902.0,33595.90608274682,13816.0,550.0,0.0,951.0,2269.0,0.0,25082.0,2832.0,5885.0,0.0,0.0
Orginal,Minya,Production,631829.0,2004.0,14614.0,2858238.0,520342.20567910385,25573.0,783.0,0.0,1196.0,3136.0,0.0,581410.0,35526.0,52815.0,0.0,0.0
Orginal,Assuit,Water,547778000.0,120000.0,5185000.0,152279000.0,11236000.0,5468000.0,6848000.0,152000.0,897000.0,4218000.0,22000.0,25024000.0,5832000.0,3058000.0,0.0,0
Orginal,Assuit,Area,222190.0,411.0,2582.0,58518.0,79971.15326299384,2667.0,2721.0,85.0,579.0,1556.0,14.0,6353.0,2912.0,1138.0,0.0,0
Orginal,Assuit,Production,579375.0,727.0,29720.0,1720035.0,1238614.1983215604,28898.0,3358.0,59.0,434.0,1357.0,13.0,205773.0,41105.0,8614.0,0.0,0
Orginal,Sohag,Water,511152000.0,122000.0,5562000.0,197306000.0,22397000.0,0.0,1456000.0,0.0,800000.0,14000.0,58000.0,0.0,17639000.0,1520000.0,0.0,0.0
Orginal,Sohag,Area,203214.0,219.0,2840.0,73079.0,16974.0,0.0,967.0,0.0,579.0,5.0,38.0,0.0,14161.0,736.0,0.0,0.0
Orginal,Sohag,Production,521531.0,365.0,62159.0,2634032.0,271179.0,0.0,1210.0,0.0,588.0,5.0,29.0,0.0,249941.0,7909.0,0.0,0.0
Orginal,Qena,Water,193250000.0,152000.0,0.0,73847000.0,5482000.0,114000.0,634000.0,16000.0,965000.0,0.0,5000.0,0.0,2384000.0,502000.0,0.0,0.0
Orginal,Qena,Area,104957.0,311.0,0.0,17523.0,14020.0,299.0,327.0,9.0,372.0,0.0,3.0,0.0,3326.0,178.0,0.0,0.0
Orginal,Qena,Production,282093.0,353.0,0.0,508088.0,710949.0,382.0,342.0,6.0,341.0,0.0,3.0,0.0,59445.0,1003.0,0.0,0.0
Orginal,Aswan,Water,30295000.0,185000.0,9973000.0,1910000.0,364000.0,290000.0,0.0,3000.0,0.0,0.0,1685000.0,1549000.0,0.0,0.0,0,0
Orginal,Aswan,Area,52528.0,1710.0,3733.0,71449.20782363947,2999.0,1759.0,0.0,11.0,0.0,0.0,1275.0,8639.0,0.0,0.0,0,0
Orginal,Aswan,Production,166371.0,1536.0,68739.0,1238614.1983215604,7872.0,1626.0,0.0,9.0,0.0,0.0,19406.0,5915.0,0.0,0.0,0,0
Orginal,Luxor,Water,54897000.0,733000.0,0.0,17465000.0,6996000.0,0.0,597000.0,0.0,201000.0,165000.0,0.0,0.0,1205000.0,720000.0,0.0,0.0
Orginal,Luxor,Area,40441.0,539.0,0.0,7343.0,888.0,0.0,342.0,0.0,74.0,61.0,0.0,0.0,612.0,265.0,0.0,0.0
Orginal,Luxor,Production,72667.0,509.0,0.0,115487.0,154499.0,0.0,983.0,0.0,57.0,39.0,0.0,0.0,8264.0,2396.0,0.0,0.0
Solution 3,Cairo,Water,1629437.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Cairo,Area,899.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Cairo,Production,1910.375,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0
Solution 3,Alexandria,Water,69203445.69686419,0,3932000.0,0,0,1158000.0,0,0,0,0,0,219999.99999999997,14999.999999999998,0,0,0
Solution 3,Alexandria,Area,112292.90608274682,0,4001.0,0,0,4359.0,0,0,0,0,0,197.0,14.0,0,0,0
Solution 3,Alexandria,Production,286805.8722327541,0,54990.0,0,0,5258.0,0.0,0,0.0,0,0,1347.0,108.0,0,0,0
Solution 3,Port said,Water,0,0,0,125814268.38235295,104000.0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Port said,Area,0,0,0,58901.0,83.0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Port said,Production,0,0,0,1178020.0,65.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0
Solution 3,Suez,Water,16240224.24667134,0,0,6408000.0,0,0,810000.0,0,0,0,0,0,498000.0,7000.0,0,0
Solution 3,Suez,Area,10076.0,0,0,3231.0,0,0,824.0,0,0,0,0,0,418.0,35.0,0,0
Solution 3,Suez,Production,25678.971969166083,0,0,76178.0,0,0,888.0,0.0,0,0.0,0,0,5800.0,160.0,0.0,0
Solution 3,Damietta,Water,99011042.14209041,0,0,99365000.0,0,0,0,0,0,0,0,0,0,1893000.0,0,0
Solution 3,Damietta,Area,59019.0,0,0,50581.0,0,0,0,0,0,0,0,0,0,1269.0,0,0
Solution 3,Damietta,Production,153670.43088299606,0,0,1030396.0,0,0,0,0,0.0,0,0,0,0,6223.0,0,0
Solution 3,Dakahlia,Water,1053208138.4240915,0,19472000.0,0,0,148000.0,0,957000.0,0,0,0,0,0,0,6384000.0,0
Solution 3,Dakahlia,Area,603218.1532629938,0,15096.0,0,0,364.0,0,1066.0,0,0,0,0,0,0,4289.0,0
Solution 3,Dakahlia,Production,2430224.2698883824,0,121925.0,0,0,353.0,0,1123.0,0,0.0,0,0,0,0,20979.0,0
Solution 3,Sharkia,Water,681294458.7718661,0,5042000.0,305969000.0,0,0,10637000.0,186989.898989899,0,0,29000.0,121814000.0,0,1179000.0,0,0
Solution 3,Sharkia,Area,390058.94065425935,0,3702.0,167078.0,0,0,9643.0,208.0,0,0,30.0,77592.0,0,959.0,0,0
Solution 3,Sharkia,Production,970624.87484564,0,45256.0,5236148.0,0,0,11938.0,202.74747474747474,0,0.0,18.0,1571414.0,0,6267.0,0,0
Solution 3,Quliubiya,Water,0,0,0,287878416.2048534,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Quliubiya,Area,0,0,0,134773.9060827468,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Quliubiya,Production,0,0,0,4166401.9981884835,0,0,0,0.0,0,0.0,0,0,0,0,0,0
Solution 3,Kafr el sheikh,Water,701639532.2868124,0,0,0,39519000.0,0,0,0,0,0,0,0,0,2976000.0,0,0
Solution 3,Kafr el sheikh,Area,385425.0,0,0,0,80971.15326299384,0,0,0,0,0,0,0,0,1995.0,0,0
Solution 3,Kafr el sheikh,Production,975943.7411686386,0,0,0,1238614.1983215604,0,0,0.0,0,0.0,0,0,0,9807.0,0,0
Solution 3,Gharbia,Water,0,0,21697483.541345753,515449130.17570955,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Gharbia,Area,0,0,15930.178271472585,241314.76238278675,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Gharbia,Production,0,0,286268.6077236732,7460486.469574928,0,0,0,0.0,0,0.0,0,0,0,0,0,0
Solution 3,Monoufia,Water,303393841.98984647,0,144998250.3355403,0,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Monoufia,Area,164619.43535498343,0,106462.47072776339,0,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Monoufia,Production,508180.8754341274,0,1396629.7222763274,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0
Solution 3,Behaira,Water,1215245922.7520912,0,0,0,0,0,12027000.0,0,0,0,0,0,0,692000.0,1340000.0,0
Solution 3,Behaira,Area,687926.1532629938,0,0,0,0,0,9775.0,0,0,0,0,0,0,1082.0,943.0,0
Solution 3,Behaira,Production,1891551.5489700392,0,0,0,0,0,13613.0,0.0,0,0.0,0,0,0,6156.0,5086.0,0
Solution 3,Ismailia,Water,43660412.82366792,0,20531000.0,0,0,0,2000.0,0,0,3360000.0,317000.0,0,0,0,0,0
Solution 3,Ismailia,Area,42869.94065425933,0,13361.0,0,0,0,2.0,0,0,8578.0,444.0,0,0,0,0,0
Solution 3,Ismailia,Production,108316.6447692385,0,338872.0,0,0,0,3.0,0,0.0,178651.0,4544.0,0,0.0,0,0,0
Solution 3,Giza,Water,0,322000.0,0,0,0,0,0,0,0,0,0,57060072.921730675,0,0,0,0
Solution 3,Giza,Area,0,884.0,0,0,0,0,0,0,0,0,0,96365.0,0,0,0,0
Solution 3,Giza,Production,0,0,0,0,0,0,0,0.0,0,0.0,0,2176434.2100145845,0,0,0.0,0
Solution 3,Beni sweif,Water,0,0,633803272.1706986,0,0,0,0,224000.0,4035000.0,0,0,0,0,0,0,0
Solution 3,Beni sweif,Area,0,0,288788.79000000004,0,0,0,0,135.0,1709.0,0,0,0,0,0,0,0
Solution 3,Beni sweif,Production,0,0,8663663.7,0,0,0,0.0,0,1794.0,0,0,0,0,0.0,0,0
Solution 3,Fayoum,Water,427858999.99999994,2611000.0,6271000.0,2089556000.0,25721000.0,91085323.7430868,854999.9999999999,0,0,0,0,546062249.100202,26408000.0,6466000.0,0,0
Solution 3,Fayoum,Area,33114.35053227526,1410.0,3559.0,88167.0,751.91,48313.62617683923,367.0,0,0,0,0,147945.0232908855,10145.0,2484.0,0,0
Solution 3,Fayoum,Production,0.0,0,0,0,0,271511.29000000004,0,0.0,0,0.0,0,2869536.6799854143,0,0,0.0,0
Solution 3,Minya,Water,0,2653495.868263477,0,596837407.9545552,55897171.11721033,12950000.0,0,0,0,0,45743000.0,0,0,0,0,0
Solution 3,Minya,Area,0,13666.791826347326,0,264075.3963838271,86671.71787257242,13816.0,0,0,0,0,25082.0,0,0,0,0,0
Solution 3,Minya,Production,0,25813.62000000004,0,9104609.452236582,1342394.3005654463,25573.0,0,0.0,0,0,581410.0,0,0,0.0,0,0
Solution 3,Assuit,Water,0,120000.0,0,0,53269021.143831395,0,0,0,897000.0,4218000.0,22000.0,0,0,0,0,0
Solution 3,Assuit,Area,0,411.0,0,0,379137.15326299384,0,0,0,579.0,1556.0,14.0,0,0,0,0,0
Solution 3,Assuit,Production,0,727.0,0,0,5872175.678127533,0,0,0,434.0,1357.0,0,0,0,0,0.0,0
Solution 3,Sohag,Water,511152000.0,122000.0,5562000.0,197306000.0,77803067.22870466,0,40157141.8181818,0,3769414.9659863724,191267.99999999348,93919.99999999443,0,112986352.99302638,52094353.26842837,0,0
Solution 3,Sohag,Area,32248.472237112215,219.0,2840.0,73079.0,58964.560572399554,0,26670.29954545453,0,2728.114081632637,68.30999999999767,61.53379310344462,0,90708.07555611126,25224.634214186368,0,0
Solution 3,Sohag,Production,0.0,0,0,0,942026.0734925615,0,33372.34999999998,0.0,2770.5199999999836,68.30999999999767,46.95999999999721,0,1600993.3700000003,271062.0,0.0,0
Solution 3,Qena,Water,227701258.61066914,0,0,0,5482000.0,114000.0,0,21333.333333333336,0,0,0,0,2384000.0,0,0,0
Solution 3,Qena,Area,123668.0,0,0,0,14020.0,299.0,0,12.0,0,0,0,0,3326.0,0,0,0
Solution 3,Qena,Production,332382.56737521075,0,0,0,710949.0,382.0,0,8.0,0,0.0,0,0,59445.0,0,0.0,0
Solution 3,Aswan,Water,185000.0,0,0,1910000.0,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Aswan,Area,1710.0,0,0,71449.20782363947,0,0,0,0,0,0,0,0,0,0,0,0
Solution 3,Aswan,Production,1536.0,0,0,1238614.1983215604,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
Solution 3,Luxor,Water,68557110.06157118,0,0,0,0,0,0,0,0,165000.0,0,0,0,0,0,0
Solution 3,Luxor,Area,50504.0,0,0,0,0,0,0,0,0,61.0,0,0,0,0,0,0
Solution 3,Luxor,Production,90748.84814915554,0,0,0,0,0,0,0.0,0,39.0,0,0,0,0,0.0,0
Solution 5,Cairo,Water,748562.5,0,0,0,254000.0,0,0,0,0,0,0,0,0,0,0,0
Solution 5,Cairo,Area,413.0,0,0,0,486.0,0,0,0,0,0,0,0,0,0,0,0
Solution 5,Cairo,Production,877.625,0,0,0,4675.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0
Solution 5,Alexandria,Water,63187357.41079761,826000.0,3932000.0,0,0,1158000.0,0,0,0,0,14351000.0,219999.99999999997,14999.999999999998,48000.0,0,0
Solution 5,Alexandria,Area,102530.90608274682,1984.0,4001.0,0,0,4359.0,0,0,0,0,7746.0,197.0,14.0,32.0,0,0
Solution 5,Alexandria,Production,261872.87314665847,0,54990.0,0,0,5258.0,0.0,0,0.0,0,153262.0,1347.0,108.0,140.0,0,0
Solution 5,Port said,Water,108556656.85172698,0,0,0,104000.0,0,0,0,0,0,0,0,0,0,0,0
Solution 5,Port said,Area,58901.0,0,0,0,83.0,0,0,0,0,0,0,0,0,0,0,0
Solution 5,Port said,Production,147634.22896531055,0,0,0,65.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0
Solution 5,Suez,Water,16240224.24667134,0,0,6408000.0,0,0,810000.0,0,0,0,0,0,498000.0,7000.0,0,0
Solution 5,Suez,Area,10076.0,0,0,3231.0,0,0,824.0,0,0,0,0,0,418.0,35.0,0,0
Solution 5,Suez,Production,25678.971969166083,0,0,76178.0,0,0,888.0,0.0,0,0.0,0,0,5800.0,160.0,0.0,0
Solution 5,Damietta,Water,98779531.54693277,0,0,99365000.0,0,177000.0,0,0,0,0,0,0,0,1893000.0,0,0
Solution 5,Damietta,Area,58881.0,0,0,50581.0,0,138.0,0,0,0,0,0,0,0,1269.0,0,0
Solution 5,Damietta,Production,153311.1140619409,0,0,1030396.0,0,162.0,0,0,0.0,0,0,0,0,6223.0,0,0
