sol_index,Labels,Wheat,Barley,Forestation Alfalfa,Sustains Alfalfa,vegetables,Medical and Aromatic plants,fully grown Beans,lentils,Fenugreek,chickpeas,Lupine,sugar Beet,Fully grown Onions,Garlic,Lfax,Others,Total
Orginal,prod,0.10845300085585538,0.0003752353699788588,0.026658654806773645,0.5124792274754985,0.1714191207925738,0.004166775303291393,0.0009089086514765587,2.1816009882491793e-05,3.787864933540531e-05,8.714016313315807e-05,2.6977526416204363e-06,0.1345309919346084,0.034955675640341834,0.003947527844983373,0.0009120881456613257,0.0008783122995911524,1.0
Orginal,water,0.42437965463127186,0.0011938059043024377,0.017842883345680186,0.376782080291789,0.07887144620753135,0.006813660245433147,0.00617714298952941,0.00011741964285926081,0.00039218951419658834,0.00109030266355983,1.1623358586068242e-05,0.05856615039186928,0.018978335245652567,0.006283809048934893,0.0015449578463482135,0.0008685100048256705,1.0
Orginal,area,0.48272090795031414,0.003482256566411765,0.027725036178444244,0.2247913826885251,0.12430185839820866,0.009926873509443391,0.008413157555029775,0.000263835485131717,0.00045820499691997743,0.0009464950139254422,4.140915685923809e-05,0.07960665331586704,0.027665880240073902,0.007002879984280865,0.0022712499994875165,0.00023335304728414456,1.0
3,prod,0.1070297439254974,0.00038644783557537386,0.026221458252436613,0.5127763741930184,0.15614996193960665,0.004100092501248613,0.0008956174023011463,1.8399051179486977e-05,4.410715456696672e-05,4.484752249856264e-05,8.941123040798776e-07,0.10154349050081289,0.023015262372697024,0.0039055888026414474,0.0005793974359643483,0.000856152188606413,0.94
3,water,0.4285457846313614,0.0004754899240317428,0.016365588776238726,0.385778282686578,0.02052679271050526,0.008255061379089103,0.005190512921275135,9.2300792620008e-05,0.0003866873930907098,0.0006807388376024659,1.1458892015598264e-05,0.06120365033726579,0.011292318453855019,0.004780074848770092,0.000995734385539846,0.0008618680856336316,0.95
3,area,0.4556594918844258,0.0030931443240223627,0.025621391684910476,0.23380976546864607,0.11695394419687542,0.010627047620324704,0.008727748758457346,0.0002176938532028517,0.0005817756813621148,0.0005736959804852259,1.7837001602330277e-05,0.06009601467608305,0.01778702031945862,0.005036474768842051,0.0014359681496983138,0.0002061413156337881,0.94
5,prod,0.1070853270558009,0.00038644783557537386,0.02622145825243661,0.5127763741930185,0.1561499619396067,0.0041000925012486126,0.0008956174023011469,1.9049437020421855e-05,3.813355943195044e-05,4.484752249856264e-05,1.07304487724858e-06,0.10154349050081296,0.023015262372697024,0.0039055888026414474,0.0007525037925818609,0.000856152188606413,0.94
5,water,0.3766174321847252,0.0003247025442791432,0.020292843885242547,0.3753215338588879,0.03174976269801115,0.008829563814038686,0.006166242478772293,0.00010318695887632011,0.000609349826957163,0.0006807388376024659,1.1854244348457728e-05,0.06902452584751588,0.010715921181716829,0.008626640606903142,0.0013442557174168474,0.0008618680856336316,0.91
5,area,0.46516700984665016,0.0031531453472265648,0.02978524286558458,0.21683462727968433,0.11622131082285769,0.011647157628467889,0.009905692560581159,0.00022986307481046454,0.0008053851284020055,0.0005736959804852259,1.834405250264748e-05,0.06028770198638293,0.016552087121344178,0.007336208410560156,0.0019353487258238049,0.0002061413156337881,0.94
6,prod,0.10237178636014159,0.00038644783557537386,0.026221458252436606,0.5127763741930185,0.1561499619396067,0.0041000925012486126,0.0008956174023011466,1.9049437020421855e-05,3.813355943195024e-05,4.484752249856264e-05,8.941123040798776e-07,0.10154349050081292,0.023015262372697017,0.0039055888026414474,0.0007402027630666522,0.000856152188606413,0.93
