water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,8007388712.5,2640252712.5,2856066.0,2923318.57,67252.57,7879477.0,7619856.87,-259620.13,Wheat
15098000.0,2838495.87,-12259504.13,20603.0,15526.79,-5076.21,27262.0,27534.62,272.62,Barley
225658000.0,244548798.04,18890798.04,164037.0,173551.15,9514.15,1936833.0,1956201.33,19368.33,Forestation Alfalfa
4765948000.0,2485016290.29,-2280931709.71,1330370.0,1189253.26,-141116.74,37240462.0,37612866.62,372404.62,Sustains Alfalfa
997737000.0,253115755.03,-744621244.97,735926.12,785064.88,49138.76,12458799.65,12583387.65,124588.0,vegetables
86172000.0,112820154.34,26648154.34,58733.0,72583.41,13850.41,302729.0,305756.29,3027.29,Medical and Aromatic plants
78122000.0,65079141.82,-13042858.18,49777.0,53030.3,3253.3,66035.0,66695.35,660.35,fully grown Beans
1485000.0,1485000.0,0.0,1561.0,1561.0,0.0,1585.0,1585.0,0.0,lentils
4960000.0,3772414.97,-1187585.03,2711.0,2739.11,28.11,2752.0,2779.52,27.52,Fenugreek
13789000.0,13966268.0,177268.0,5600.0,5663.31,63.31,6331.0,6394.31,63.31,chickpeas
147000.0,155920.0,8920.0,245.0,251.53,6.53,196.0,197.96,1.96,Lupine
740683000.0,865609251.67,124926251.67,470998.0,489079.54,18081.54,9774089.0,9871829.89,97740.89,sugar Beet
240018000.0,146332352.99,-93685647.01,163687.0,138414.08,-25272.92,2539637.0,2565033.37,25396.37,Fully grown Onions
79471000.0,55593152.36,-23877847.64,41433.0,36041.18,-5391.82,286800.0,289668.0,2868.0,Garlic
19539000.0,19446000.0,-93000.0,13438.0,13376.0,-62.0,66266.0,65977.0,-289.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
