water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4734675343.69,-632460656.31,2856066.0,2829176.25,-26889.75,7879477.0,8229213.12,349736.12,Wheat
15098000.0,2950591.12,-12147408.88,20603.0,16104.14,-4498.86,27262.0,28625.1,1363.1,Barley
225658000.0,208572726.69,-17085273.31,164037.0,155883.73,-8153.27,1936833.0,2033674.65,96841.65,Forestation Alfalfa
4765948000.0,3021117342.71,-1744830657.29,1330370.0,1369762.99,39392.99,37240462.0,39102485.1,1862023.1,Sustains Alfalfa
997737000.0,92794158.4,-904942841.6,735926.12,625657.84,-110268.28,12458799.65,13081739.63,622939.98,vegetables
86172000.0,102050177.17,15878177.17,58733.0,95854.29,37121.29,302729.0,317865.45,15136.45,Medical and Aromatic plants
78122000.0,76597755.37,-1524244.63,49777.0,56028.59,6251.59,66035.0,69336.75,3301.75,fully grown Beans
1485000.0,1137000.0,-348000.0,1561.0,1267.0,-294.0,1585.0,1324.0,-261.0,lentils
4960000.0,3922183.67,-1037816.33,2711.0,2847.51,136.51,2752.0,2889.6,137.6,Fenugreek
13789000.0,14201140.0,412140.0,5600.0,5695.55,95.55,6331.0,6647.55,316.55,chickpeas
147000.0,171600.0,24600.0,245.0,261.81,16.81,196.0,205.8,9.8,Lupine
740683000.0,1120214350.71,379531350.71,470998.0,442882.89,-28115.11,9774089.0,8518753.13,-1255335.87,sugar Beet
240018000.0,155099084.29,-84918915.71,163687.0,144001.57,-19685.43,2539637.0,2666618.85,126981.85,Fully grown Onions
79471000.0,58263396.64,-21207603.36,41433.0,36132.32,-5300.68,286800.0,301140.0,14340.0,Garlic
19539000.0,4052000.0,-15487000.0,13438.0,3048.0,-10390.0,66266.0,17285.0,-48981.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
