water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4596534555.05,-770601444.95,2856066.0,2753292.68,-102773.32,7879477.0,8037066.54,157589.54,Wheat
15098000.0,2866519.68,-12231480.32,20603.0,15671.13,-4931.87,27262.0,27807.24,545.24,Barley
225658000.0,202540260.28,-23117739.72,164037.0,151454.5,-12582.5,1936833.0,1975569.66,38736.66,Forestation Alfalfa
4765948000.0,2924462057.33,-1841485942.67,1330370.0,1334550.16,4180.16,37240462.0,37985271.24,744809.24,Sustains Alfalfa
997737000.0,89912131.43,-907824868.57,735926.12,618287.17,-117638.95,12458799.65,12707975.64,249175.99,vegetables
86172000.0,179919959.06,93747959.06,58733.0,167356.72,108623.72,302729.0,308783.58,6054.58,Medical and Aromatic plants
78122000.0,74213946.45,-3908053.55,49777.0,54445.38,4668.38,66035.0,67355.7,1320.7,fully grown Beans
1485000.0,1137000.0,-348000.0,1561.0,1267.0,-294.0,1585.0,1324.0,-261.0,lentils
4960000.0,3809857.14,-1150142.86,2711.0,2766.21,55.21,2752.0,2807.04,55.04,Fenugreek
13789000.0,13669336.0,-119664.0,5600.0,5505.62,-94.38,6331.0,6457.62,126.62,chickpeas
147000.0,159840.0,12840.0,245.0,254.1,9.1,196.0,199.92,3.92,Lupine
740683000.0,1187319482.84,446636482.84,470998.0,494709.77,23711.77,9774089.0,9651798.99,-122290.01,sugar Beet
240018000.0,149722216.51,-90295783.49,163687.0,139684.89,-24002.11,2539637.0,2590429.74,50792.74,Fully grown Onions
79471000.0,56609827.29,-22861172.71,41433.0,35331.64,-6101.36,286800.0,292536.0,5736.0,Garlic
19539000.0,4052000.0,-15487000.0,13438.0,3048.0,-10390.0,66266.0,17285.0,-48981.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
