sol_index,Crop_Name,Water,Area,Production
Orginal,Wheat,5367107000.0,2856050.0,7879443.0
Orginal,Barley,15098000.0,20603.0,27262.0
Orginal,Forestation Alfalfa,225658000.0,164037.0,1936833.0
Orginal,Sustains Alfalfa,4765143000.0,1329993.0,37233187.0
Orginal,vegetables,997483000.0,735440.1204323738,12454124.650643785
Orginal,Medical and Aromatic plants,86172000.0,58733.0,302729.0
Orginal,fully grown Beans,78122000.0,49777.0,66035.0
Orginal,lentils,1485000.0,1561.0,1585.0
Orginal,Fenugreek,4960000.0,2711.0,2752.0
Orginal,chickpeas,13789000.0,5600.0,6331.0
Orginal,Lupine,147000.0,245.0,196.0
Orginal,sugar Beet,740683000.0,470998.0,9774089.0
Orginal,Fully grown Onions,240018000.0,163687.0,2539637.0
Orginal,Garlic,79471000.0,41433.0,286800.0
Orginal,Lfax,19539000.0,13438.0,66266.0
Orginal,Others,10984000.0,1380.648651672821,63812.08123531387
Orginal,X,0,0,0
3,Wheat,5419795825.306242,2695939.352041624,7776039.020685349
3,Barley,6013495.868263477,18300.791826347326,28076.62000000004
3,Forestation Alfalfa,206974733.87688604,151590.64899923597,1905069.3300000005
3,Sustains Alfalfa,4878917494.888169,1383350.8548493607,37254775.61999999
3,vegetables,259601259.4897464,691965.702794599,11344773.44882866
3,Medical and Aromatic plants,104401323.7430868,62875.62617683923,297884.29000000004
3,fully grown Beans,65644141.8181818,51638.29954545453,65069.34999999998
3,lentils,1167323.2323232323,1288.0,1336.7474747474748
3,Fenugreek,4890414.965986373,3442.114081632637,3204.5199999999836
3,chickpeas,8609267.999999993,3394.3099999999977,3258.3099999999977
3,Lupine,144919.9999999944,105.53379310344462,64.95999999999721
3,sugar Beet,774039322.0219326,355562.0232908855,7377445.889999999
3,Fully grown Onions,142813352.99302638,105238.07555611126,1672129.3700000003
3,Garlic,60453353.26842837,29798.634214186368,283753.0
3,Lfax,12593000.0,8496.0,42095.0
3,Others,10900000.0,1219.648651672821,62202.08123531387
5,Wheat,4763060704.116314,2752191.2073658723,7780077.305504872
5,Barley,4106495.868263477,18655.791826347326,28076.62000000004
5,Forestation Alfalfa,256642521.0959366,176226.34836237258,1905069.3300000003
5,Sustains Alfalfa,4746671546.672061,1282916.3333150784,37254775.62
5,vegetables,401537566.104324,687631.0292525971,11344773.448828664
5,Medical and Aromatic plants,111667025.58926511,68911.17413171925,297884.29
5,fully grown Beans,77984141.81818181,58607.68152300499,65069.35000000001
5,lentils,1305000.0,1360.0,1384.0
5,Fenugreek,7706414.965986412,4765.114081632666,2770.520000000013
5,chickpeas,8609267.999999993,3394.3099999999977,3258.3099999999977
5,Lupine,149919.9999999944,108.53379310344462,77.95999999999721
