water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,6843435369.71,1476299369.71,2856066.0,2799418.52,-56647.48,7879477.0,7619856.87,-259620.13,Wheat
15098000.0,2922567.31,-12175432.69,20603.0,15959.8,-4643.2,27262.0,28352.48,1090.48,Barley
225658000.0,255706479.15,30048479.15,164037.0,179883.51,15846.51,1936833.0,2014306.32,77473.32,Forestation Alfalfa
4765948000.0,2499776878.39,-2266171121.61,1330370.0,1195784.2,-134585.8,37240462.0,37838035.8,597573.8,Sustains Alfalfa
997737000.0,288402356.69,-709334643.31,735926.12,808247.35,72321.23,12458799.65,12957151.64,498351.99,vegetables
86172000.0,115866897.15,29694897.15,58733.0,74199.47,15466.47,302729.0,314838.16,12109.16,Medical and Aromatic plants
78122000.0,67462950.74,-10659049.26,49777.0,54613.5,4836.5,66035.0,68676.4,2641.4,fully grown Beans
1485000.0,1485000.0,0.0,1561.0,1561.0,0.0,1585.0,1585.0,0.0,lentils
4960000.0,3884741.5,-1075258.5,2711.0,2820.41,109.41,2752.0,2862.08,110.08,Fenugreek
13789000.0,14498072.0,709072.0,5600.0,5853.24,253.24,6331.0,6584.24,253.24,chickpeas
147000.0,167680.0,20680.0,245.0,259.24,14.24,196.0,203.84,7.84,Lupine
740683000.0,921408444.54,180725444.54,470998.0,504197.26,33199.26,9774089.0,10165052.56,390963.56,sugar Beet
240018000.0,151709220.78,-88308779.22,163687.0,142730.75,-20956.25,2539637.0,2641222.48,101585.48,Fully grown Onions
79471000.0,57246721.71,-22224278.29,41433.0,36841.85,-4591.15,286800.0,298272.0,11472.0,Garlic
19539000.0,19446000.0,-93000.0,13438.0,13376.0,-62.0,66266.0,65977.0,-289.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
