sol_index,City,Labels,Wheat,Barley,Forestation Alfalfa,Sustains Alfalfa,vegetables,Medical and Aromatic plants,fully grown Beans,lentils,Fenugreek,chickpeas,Lupine,sugar Beet,Fully grown Onions,Garlic,Lfax,Others
Orginal,Cairo,Water,1.660479798009749e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.534932660032496e-07,0.0,6.641919192038996e-06,0,0,0,0,0
Orginal,Cairo,Area,2.7042714683584063e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.760678670896016e-07,0.0,2.721173165035646e-05,0,0,0,0,0
Orginal,Cairo,Production,3.1657301406770425e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4775279361820334e-07,0.0,2.2160110984739297e-05,0,0,0,0,0
Orginal,Alexandria,Water,0.003359150631373722,6.531220538838345e-05,0.0003109050745606825,0.0007643742003504878,0.0035963620310894007,9.156360029025186e-05,0.0011347402657732337,1.7395502645816417e-05,1.186056998578392e-06,3.7953823954508548e-06,0,0,0,0,0,0
Orginal,Alexandria,Area,0.01165118460445542,0.0003353296620764424,0.000676236884056374,0.0023515330587044066,0.005678278142076303,0.0007367449581608933,0.0013092054246190135,3.3296342454162874e-05,2.3662375348136055e-06,5.4085429367168125e-06,0,0,0,0,0,0
Orginal,Alexandria,Production,0.002423380186732366,3.776853698268611e-05,0.0007568847845036111,0.004928780312196447,0.007162013060803096,7.237134382469517e-05,0.002109504925306282,1.854016738909555e-05,1.48651676170922e-06,1.926966172586026e-06,0,0,0,0,0,0
Orginal,Port said,Water,0.0019450544072019912,0.00028512810245824545,0.0,0.002434816877148295,8.46844696984972e-05,8.223328523476852e-06,1.9609475709829416e-05,0.0,0.0,0.0,0.0,0.006189003559515194,0.0,0.0,0.0,0
Orginal,Port said,Area,0.002255869455511228,0.0004717263542617695,0.0,0.002436548592990924,0.013516481753801969,1.4028408242109233e-05,1.5211527009516034e-05,0.0,0.0,0.0,0.0,0.004775912430087717,0.0,0.0,0.0,0
Orginal,Port said,Production,0.0004604623309835208,4.8958704827774956e-05,0.0,0.0039684491920000215,0.017048340436074328,8.94662865843512e-07,1.2525280121809168e-06,0.0,0.0,0.0,0.0,0.007993303436680454,0.0,0.0,0.0,0
Orginal,Suez,Water,0.0007274482924614138,3.5739850890495546e-05,0.0,0.0005066835497926891,0.00048454381915255914,0.0,6.404707792323318e-05,0.0,0.0,0.0,0.0,0.0,3.937709235280262e-05,5.534932660032496e-07,0.0,0.0
