water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4904190232.63,-462945767.37,2856066.0,2883162.7,27096.7,7879477.0,8273450.85,393973.85,Wheat
15098000.0,2950591.12,-12147408.88,20603.0,15954.14,-4648.86,27262.0,28440.1,1178.1,Barley
225658000.0,304794212.12,79136212.12,164037.0,202954.32,38917.32,1936833.0,2033674.65,96841.65,Forestation Alfalfa
4765948000.0,2934352881.29,-1831595118.71,1330370.0,1340777.46,10407.46,37240462.0,39102485.1,1862023.1,Sustains Alfalfa
997737000.0,725526586.43,-272210413.57,735926.12,741896.72,5970.6,12458799.65,13081739.63,622939.98,vegetables
86172000.0,115970696.32,29798696.32,58733.0,73955.75,15222.75,302729.0,317865.45,15136.45,Medical and Aromatic plants
78122000.0,108353774.79,30231774.79,49777.0,62514.26,12737.26,66035.0,69336.75,3301.75,fully grown Beans
1485000.0,1485000.0,0.0,1561.0,1561.0,0.0,1585.0,1585.0,0.0,lentils
4960000.0,4679619.46,-280380.54,2711.0,2826.0,115.0,2752.0,2794.29,42.29,Fenugreek
13789000.0,13789000.0,0.0,5600.0,5600.0,0.0,6331.0,6331.0,0.0,chickpeas
147000.0,147000.0,0.0,245.0,245.0,0.0,196.0,196.0,0.0,Lupine
740683000.0,1111607612.29,370924612.29,470998.0,496778.79,25780.79,9774089.0,9709855.85,-64233.15,sugar Beet
240018000.0,50985000.0,-189033000.0,163687.0,61867.0,-101820.0,2539637.0,1213981.0,-1325656.0,Fully grown Onions
79471000.0,3702000.0,-75769000.0,41433.0,10871.0,-30562.0,286800.0,19661.0,-267139.0,Garlic
19539000.0,19317000.0,-222000.0,13438.0,13290.0,-148.0,66266.0,65588.0,-678.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
