water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4655094158.57,-712041841.43,2856066.0,2764686.55,-91379.45,7879477.0,8194656.08,315179.08,Wheat
15098000.0,2922567.31,-12175432.69,20603.0,15959.8,-4643.2,27262.0,28352.48,1090.48,Barley
225658000.0,175914615.32,-49743384.68,164037.0,132700.2,-31336.8,1936833.0,2014306.32,77473.32,Forestation Alfalfa
4765948000.0,2668492909.01,-2097455090.99,1330370.0,1262314.01,-68055.99,37240462.0,38730080.48,1489618.48,Sustains Alfalfa
997737000.0,320793667.11,-676943332.89,735926.12,791933.31,56007.19,12458799.65,12957151.64,498351.99,vegetables
86172000.0,108068000.21,21896000.21,58733.0,68033.22,9300.22,302729.0,314838.16,12109.16,Medical and Aromatic plants
78122000.0,67462950.74,-10659049.26,49777.0,54613.5,4836.5,66035.0,68676.4,2641.4,fully grown Beans
1485000.0,1347323.23,-137676.77,1561.0,1489.0,-72.0,1585.0,1537.75,-47.25,lentils
4960000.0,3884741.5,-1075258.5,2711.0,2820.41,109.41,2752.0,2862.08,110.08,Fenugreek
13789000.0,14498072.0,709072.0,5600.0,5853.24,253.24,6331.0,6584.24,253.24,chickpeas
147000.0,167680.0,20680.0,245.0,259.24,14.24,196.0,203.84,7.84,Lupine
740683000.0,863559514.9,122876514.9,470998.0,504895.74,33897.74,9774089.0,10165052.56,390963.56,sugar Beet
240018000.0,151709220.78,-88308779.22,163687.0,142730.75,-20956.25,2539637.0,2641222.48,101585.48,Fully grown Onions
79471000.0,70490796.46,-8980203.54,41433.0,40621.6,-811.4,286800.0,298272.0,11472.0,Garlic
19539000.0,15305000.0,-4234000.0,13438.0,10601.0,-2837.0,66266.0,54294.0,-11972.0,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
