water,area,prod,city,name,visited,rank,season,region_name
254000.0,486.0,4675.0,Cairo,vegetables,1,6,,
21667000.0,33595.90608274682,520342.20567910385,Minya,vegetables,1,7,,
37083000.0,51573.79,582753.3,Beni sweif,vegetables,1,8,,
22827999.999999996,22191.0,343700.0,Damietta,vegetables,1,9,,
92338000.0,79971.15326299384,1238614.1983215604,Dakahlia,vegetables,1,10,,
173203039.6052166,131265.27634321322,2097112.4292138694,Sohag,vegetables,1,11,,
45483000.0,33595.90608274682,520342.20567910385,Alexandria,vegetables,1,12,,
6128000.0,3958.0,34749.55,Suez,vegetables,1,13,,
57577000.0,33595.90608274682,520342.20567910385,Quliubiya,vegetables,1,14,,
0,0,0,Behaira,vegetables,1,15,,
0,0,0,Monoufia,vegetables,1,16,,
0,0,0,Luxor,vegetables,1,17,,
108473000.0,2235.5032009690462,0.0,Giza,vegetables,0,18,,
0,0,0,Gharbia,vegetables,1,19,,
0,0,0,Fayoum,vegetables,1,20,,
0,0,0,Ismailia,vegetables,1,21,,
0,0,0,Sharkia,vegetables,1,22,,
364000.0,2999.0,7872.0,Aswan,Medical and Aromatic plants,1,1,,
114000.0,299.0,382.0,Qena,Medical and Aromatic plants,1,2,,
148000.0,364.0,353.0,Dakahlia,Medical and Aromatic plants,1,3,,
12950000.0,13816.0,25573.0,Minya,Medical and Aromatic plants,1,4,,
104000.0,83.0,65.0,Port said,Medical and Aromatic plants,1,5,,
8545000.0,6670.0,4179.0,Kafr el sheikh,Medical and Aromatic plants,1,6,,
177000.0,138.0,162.0,Damietta,Medical and Aromatic plants,1,7,,
1030000.0,801.0,718.0,Monoufia,Medical and Aromatic plants,1,8,,
104000.0,75.0,51.0,Sharkia,Medical and Aromatic plants,1,9,,
2890000.0,2007.0,4754.0,Gharbia,Medical and Aromatic plants,1,10,,
301000.0,207.0,1410.0,Quliubiya,Medical and Aromatic plants,1,11,,
15462000.0,8640.0,124873.0,Beni sweif,Medical and Aromatic plants,1,12,,
33726000.0,17889.0,100532.0,Fayoum,Medical and Aromatic plants,1,13,,
5468000.0,2667.0,28898.0,Assuit,Medical and Aromatic plants,1,14,,
3933000.0,1755.0,2367.0,Behaira,Medical and Aromatic plants,1,15,,
856000.0,323.0,540.0,Giza,Medical and Aromatic plants,1,16,,
0,0,0.0,Alexandria,Medical and Aromatic plants,0,17,,
0,0,0.0,Cairo,Medical and Aromatic plants,0,18,,
0,0,0.0,Ismailia,Medical and Aromatic plants,0,19,,
0,0,0.0,Luxor,Medical and Aromatic plants,0,20,,
0,0,0.0,Sohag,Medical and Aromatic plants,0,21,,
0,0,0.0,Suez,Medical and Aromatic plants,0,22,,
290000.0,1759.0,1626.0,Aswan,fully grown Beans,1,1,,
1158000.0,4359.0,5258.0,Alexandria,fully grown Beans,1,2,,
810000.0,824.0,888.0,Suez,fully grown Beans,1,3,,
10637000.0,9643.0,11938.0,Sharkia,fully grown Beans,1,4,,
12027000.0,9775.0,13613.0,Behaira,fully grown Beans,1,5,,
1456000.0,967.0,1210.0,Sohag,fully grown Beans,1,6,,
12340000.0,7156.0,11934.0,Dakahlia,fully grown Beans,1,7,,
597000.0,342.0,983.0,Luxor,fully grown Beans,1,8,,
634000.0,327.0,342.0,Qena,fully grown Beans,1,9,,
179000.0,91.0,47.0,Monoufia,fully grown Beans,1,10,,
16641000.0,8139.0,9962.0,Kafr el sheikh,fully grown Beans,1,11,,
1188000.0,550.0,783.0,Minya,fully grown Beans,1,12,,
854999.9999999999,367.0,363.0,Fayoum,fully grown Beans,1,13,,
217000.0,92.0,113.0,Beni sweif,fully grown Beans,1,14,,
6848000.0,2721.0,3358.0,Assuit,fully grown Beans,1,15,,
248000.0,90.0,91.0,Port said,fully grown Beans,1,16,,
1121000.0,384.0,476.0,Giza,fully grown Beans,1,17,,
6007000.0,1319.0,1983.0,Damietta,fully grown Beans,1,18,,
3492000.0,733.0,901.0,Gharbia,fully grown Beans,1,19,,
1377000.0,139.0,166.0,Ismailia,fully grown Beans,1,20,,
0,0,0.0,Cairo,fully grown Beans,0,21,,
0,0,0.0,Quliubiya,fully grown Beans,0,22,,
180000.0,201.0,201.0,Damietta,lentils,1,1,,
957000.0,1066.0,1123.0,Dakahlia,lentils,1,2,,
178000.0,198.0,193.0,Sharkia,lentils,1,3,,
2000.0,2.0,3.0,Ismailia,lentils,1,4,,
16000.0,9.0,6.0,Qena,lentils,1,5,,
152000.0,85.0,59.0,Assuit,lentils,1,6,,
0,0,0.0,Alexandria,lentils,0,7,,
0,0,0.0,Aswan,lentils,0,8,,
0,0,0.0,Behaira,lentils,0,9,,
0,0,0.0,Beni sweif,lentils,0,10,,
0,0,0.0,Cairo,lentils,0,11,,
0,0,0.0,Fayoum,lentils,0,12,,
0,0,0.0,Gharbia,lentils,0,13,,
0,0,0.0,Giza,lentils,0,14,,
0,0,0.0,Kafr el sheikh,lentils,0,15,,
0,0,0.0,Luxor,lentils,0,16,,
0,0,0.0,Minya,lentils,0,17,,
0,0,0.0,Monoufia,lentils,0,18,,
0,0,0.0,Port said,lentils,0,19,,
0,0,0.0,Quliubiya,lentils,0,20,,
0,0,0.0,Sohag,lentils,0,21,,
0,0,0.0,Suez,lentils,0,22,,
3000.0,11.0,9.0,Aswan,Fenugreek,1,1,,
800000.0,579.0,588.0,Sohag,Fenugreek,1,2,,
897000.0,579.0,434.0,Assuit,Fenugreek,1,3,,
224000.0,135.0,119.0,Beni sweif,Fenugreek,1,4,,
19000.0,10.0,8.0,Sharkia,Fenugreek,1,5,,
1851000.0,951.0,1196.0,Minya,Fenugreek,1,6,,
