water_before,water_after,Diff_water,area_before,area_after,Diff_area,production_before,production_after,Diff_prod,name
0,0,0,0,0,0,0,0,0,x
5367136000.0,4795508674.63,-571627325.37,2856066.0,2808452.21,-47613.79,7879477.0,7958271.77,78794.77,Wheat
15098000.0,2838495.87,-12259504.13,20603.0,15526.79,-5076.21,27262.0,27534.62,272.62,Barley
225658000.0,261164521.1,35506521.1,164037.0,181175.35,17138.35,1936833.0,1956201.33,19368.33,Forestation Alfalfa
4765948000.0,2666782546.67,-2099165453.33,1330370.0,1249687.61,-80682.39,37240462.0,37612866.62,372404.62,Sustains Alfalfa
997737000.0,376887566.1,-620849433.9,735926.12,766850.27,30924.15,12458799.65,12583387.65,124588.0,vegetables
86172000.0,112031025.59,25859025.59,58733.0,71910.17,13177.17,302729.0,305756.29,3027.29,Medical and Aromatic plants
78122000.0,65079141.82,-13042858.18,49777.0,53030.3,3253.3,66035.0,66695.35,660.35,fully grown Beans
1485000.0,1485000.0,0.0,1561.0,1561.0,0.0,1585.0,1585.0,0.0,lentils
4960000.0,3772414.97,-1187585.03,2711.0,2739.11,28.11,2752.0,2779.52,27.52,Fenugreek
13789000.0,13966268.0,177268.0,5600.0,5663.31,63.31,6331.0,6394.31,63.31,chickpeas
147000.0,155920.0,8920.0,245.0,251.53,6.53,196.0,197.96,1.96,Lupine
740683000.0,906670520.09,165987520.09,470998.0,490912.15,19914.15,9774089.0,9871829.89,97740.89,sugar Beet
240018000.0,165450687.24,-74567312.76,163687.0,141252.51,-22434.49,2539637.0,2565033.37,25396.37,Fully grown Onions
79471000.0,110649666.54,31178666.54,41433.0,52044.16,10611.16,286800.0,289668.0,2868.0,Garlic
19539000.0,19725614.42,186614.42,13438.0,13565.62,127.62,66266.0,66928.66,662.66,Lfax
10984000.0,10984000.0,0.0,1380.65,1380.65,0.0,63812.08,63812.08,0.0,Others
